Reviewer Name,Review Date,Verified Purchase,Helpful Count,Review
kumari,24-Apr-18,Verified Purchase,9 people found this helpful,"Stopped after 3 months use
  Read more"
asha,25-Oct-18,Verified Purchase,7 people found this helpful,"Wow I like this watch..Superb
  Read more"
mr. sanjay,17-Mar-19,Verified Purchase,2 people found this helpful,"This female watch buy in affordable price but one problem found :-When I order place this watch internal colour design is different....and all are good in this price.
  Read more"
madhumita Chatterjee,28-Dec-18,Verified Purchase,2 people found this helpful,"Very bad product. After deliverd of 3 to 4 days become slow then totally stopped. Replacing battery also not able to make it usuable.  Become useless
  Read more"
Chandan verma,20-Nov-18,Verified Purchase,One person found this helpful,"3rd Class product. is product ko 1 rating bhi nhi dena chahiye.. So I will never recommended to buy this product. I am requsting to amazon please aap ban lagao is aise seller par jo is trah ka product sale krke amazon ka naam kharab krte hai.
  Read more"
Gautam Das,09-Dec-18,Verified Purchase,One person found this helpful,"Look good but quality.?
  Read more"
Jatin,02-Nov-18,Verified Purchase,One person found this helpful,"Very stylish product
  Read more"
Dav,12-Mar-18,Verified Purchase,4 people found this helpful,"Faulty Product...
  Read more"
Amazon Customer,30-Apr-19,Verified Purchase,8 people found this helpful,"Very good
  Read more"
Amandeep Suter,22-May-19,Verified Purchase,3 people found this helpful,"Looks great. Stylish. But the lock is not working. Which makes it useless.
  Read more"
Aravind M J,14-Jun-19,Verified Purchase,3 people found this helpful,"Actually disapointed. This (photos attached) is the watch status after just one month. The strap is a mess.
  Read more"
Prashant,15-Jun-19,Verified Purchase,,"Very nice & elegant looking watch....beautiful color & working fine.....loved it.
  Read more"
sindhu,08-May-19,Verified Purchase,2 people found this helpful,"Amazing product for lowest price..! Loved it...!
  Read more"
Muralimohan Tadi,27-May-19,Verified Purchase,One person found this helpful,"Batery is not nice
  Read more"
sabeeh k.,03-Jun-19,Verified Purchase,One person found this helpful,"This is the second hand watch. It's lock is break. I purchased it for gift purpose .
  Read more"
Laxmi Tandel,31-May-19,Verified Purchase,One person found this helpful,"Product is very low quality.. it looks good only in picture...
  Read more"
Pamu,25-Mar-19,Verified Purchase,5 people found this helpful,"Its a very good product..  Received within two days by Amazon prime...  Watch is comfortable, shiny..  I ❤️ it ⌚
  Read more"
P Ramanadham,14-Nov-16,Verified Purchase,4 people found this helpful,"Awesome product... But be careful when you keep it to your hand.even a small rock can spoil it's glass ..BE CAREFULL
  Read more"
Ashish Sahu,07-Apr-19,Verified Purchase,One person found this helpful,"The watch is awesome. But very very disappointed with the container tin,i received a plain black and golden one. May sound trivial hue n cry but trust me,fossil tins are a piece of art worth a collection.Anyway thumbs up for the watch n down for the tin.
  Read more"
Jeet Goyal,21-Sep-18,Verified Purchase,,"The product is fine but even after exchanging the product once, it seems like it's defective, Chronographs are still not working properly. I tried to put a second-time exchange but Amazon is not allowing, it's only showing return now. I don't expect this from a company like Fossil and a platform like Amazon. Disappointed.
  Read more"
Nancy Margaret,29-Apr-18,Verified Purchase,One person found this helpful,"Bought it a year back, sorry for the late review.The watch looks really good. Leather is good.Perfect for a smart man.
  Read more"
Amal,25-Dec-18,Verified Purchase,One person found this helpful,"Yeap it seems good and the leather is of good quality but one thing that disappointed me was that it doesn't have date.The paking was good .
  Read more"
roger millo,28-Aug-18,Verified Purchase,One person found this helpful,"This is my first watch. I have been using it till today. Not a single scratch on the glass. The leather straps are very strong.
  Read more"
Siddharth Sajwan,11-Sep-18,Verified Purchase,,"A good looking watch. Perfect for gifting it to a boss or senior.
  Read more"
